分析名称,算法名称,最优训练RMSE,最优验证RMSE,最优验证轮数,训练轮数总数,验证RMSE全记录
fold1,c_ista_nuc,,0.975331,30,30,"[1.0461492021053092, 1.043200775028498, 1.0403445895433117, 1.0372200687225934, 1.0340699230289851, 1.0311281664524874, 1.0280104179484655, 1.0250605588166481, 1.02203931755887, 1.0193535649226264, 1.0165246793455263, 1.0138739891208728, 1.0111185365897464, 1.008618941763171, 1.0059610521909301, 1.0036990335368432, 1.0012068602177777, 0.9988996835987841, 0.9967826797009215, 0.9944097594038825, 0.9923733278166605, 0.9901760427179218, 0.9880747160709895, 0.9862067716876162, 0.9842193776550703, 0.9823074598863535, 0.9805164131720739, 0.9787532961438289, 0.9770482560118389, 0.9753308961664923]"
fold1,c_softimpute,,0.920518,29,30,"[1.0294487191155348, 1.01488626118768, 1.0027480044442392, 0.9944837432433219, 0.9854356341356192, 0.9788272708322309, 0.9722628835947923, 0.9686706991812072, 0.9630805244729197, 0.9584206981175996, 0.9551294660277593, 0.9537059529992148, 0.9485143926695757, 0.9462044095715747, 0.9438294964304981, 0.9407753700662208, 0.938258526170842, 0.9359379959349369, 0.935346050316763, 0.9331022422486747, 0.9313342390151129, 0.9302632251269911, 0.9300174969045375, 0.9273198861585479, 0.9255251636023084, 0.9224311341319374, 0.922210477237098, 0.9213583945182777, 0.9205176414441454, 0.9210186121178481]"
fold1,nc_mf_sgd,0.720387,0.863631,2,4,"[0.9864021898327598, 0.8636305333405204, 0.8684481109712805, 0.8802789265388508]"
fold1,nc_perturb,0.839799,0.92765,2,4,"[1.0637094155398015, 0.927649820103914, 0.9425566635692212, 0.9961194462011188]"
fold1,nc_pgd_rankk,,0.950418,30,30,"[1.0436261835791583, 1.0394700368267804, 1.0346199833081602, 1.0300020505535443, 1.0247090056027408, 1.0195744648953453, 1.0146608161507067, 1.0104661786693734, 1.0060039459610848, 1.0022654414138474, 0.9984785934052343, 0.9949751579891568, 0.9918475518739419, 0.9881010968641109, 0.9846224239054556, 0.981369285237072, 0.9784695342676865, 0.976042682843377, 0.9731267795914058, 0.9703930659606063, 0.9683347733468597, 0.9659615526850253, 0.9637481920937809, 0.961352333118151, 0.959381375947724, 0.9576219939006186, 0.9558624555759592, 0.9540773742665157, 0.9522331738794468, 0.9504176440984672]"
fold1,nc_spec_alt,,0.945827,3,4,"[0.9907247360692129, 0.9560904972440142, 0.9458270612287698, 0.9611264967608728]"
fold2,c_fista_nuc,,0.998307,5,30,"[1.045603520657222, 1.0429508768517732, 1.0279043303022128, 1.0043968672887549, 0.9983069594521864, 1.1027403670261604, 1.5155525773345304, 1.8505412036179576, 2.14431249500284, 2.318718210320869, 2.387640497083594, 2.4191900893274285, 2.4305708058021316, 2.424160324054854, 2.4486868357866296, 2.534010424401775, 2.5507982984764497, 2.5292710457014724, 2.530917362012604, 2.543266513438345, 2.557503754859409, 2.5632870737275373, 2.5796667210259576, 2.587299473538941, 2.56616552212484, 2.548974083961075, 2.556016737443409, 2.5545054205909237, 2.5618173457881532, 2.564583915004645]"
fold2,c_fw_trace,,1.050885,1,30,"[1.0508851395500869, 1.0511374373029458, 1.0510088011681453, 1.0511594189863591, 1.051225105070354, 1.05116999097447, 1.0512060340820633, 1.0511969923224365, 1.0512242956000784, 1.051248505175572, 1.0512825043923115, 1.0512636665096264, 1.051244983311092, 1.051279020699721, 1.051295573938144, 1.0512626732739614, 1.0512662071464924, 1.0512742031042162, 1.0512193645016317, 1.051210502947682, 1.0512193607884464, 1.0512103544190095, 1.0512202825862837, 1.051208016946261, 1.0512065149455407, 1.0511981555018275, 1.0511851469426559, 1.051178091637352, 1.0511996101704915, 1.0512122286636578]"
fold2,c_ista_nuc,,0.975159,30,30,"[1.0458938971970546, 1.0433549541711464, 1.0403806023099422, 1.0373630378809178, 1.034393365982829, 1.0309094290642118, 1.0285425675987352, 1.0251671482685285, 1.0220453045967302, 1.0191197619412806, 1.0162292782919458, 1.0135137950260869, 1.0110591887394547, 1.0083177158824292, 1.0058085242281987, 1.0034295618584586, 1.0012767616012008, 0.9989937723304322, 0.9966545998179915, 0.9944882994045735, 0.992240538180667, 0.9901685666705372, 0.9879965035244571, 0.9860752303064126, 0.9840783851124404, 0.9822311121549101, 0.9803537747382033, 0.9785784041877945, 0.9768606872515171, 0.9751587809378057]"
fold2,c_softimpute,,0.917327,30,30,"[1.0253901720242395, 1.010408302778434, 1.0027124623536665, 0.9942477822773343, 0.9835473749324642, 0.977924834318036, 0.9725992594934844, 0.9671056522833598, 0.9616928482881126, 0.9575909985815129, 0.9550014383192417, 0.9514359284646686, 0.9490766240721525, 0.9454661005981885, 0.9426580528882694, 0.9411758953106375, 0.9364670092364125, 0.9379027774035975, 0.933152144617795, 0.9308580684696942, 0.9293355629036573, 0.9273698521782304, 0.9260174373075286, 0.9254085390727921, 0.9229450251548867, 0.921992840006713, 0.920416015709312, 0.919640346063795, 0.9192689279208414, 0.9173274687765226]"
